Image name,Position,Region type,ID,Area [pixels],Perimeter [pixels],Eccentricity,Orientation [radians],Solidity,Extent,Major Axis Length [pixels],Minor Axis Length [pixels],Equivalent Diameter [pixels]
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,bottom_left,void,1,127.0,45.213,0.738,1.338,0.969,0.641,16.505,11.129,12.716
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,bottom_left,void,2,110.0,48.385,0.93,-1.311,0.894,0.524,20.728,7.6,11.835
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,bottom_left,void,3,296.0,79.598,0.903,-1.37,0.931,0.544,31.734,13.612,19.413
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,bottom_left,void,4,231.0,68.456,0.859,-1.427,0.92,0.57,25.531,13.07,17.15
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,bottom_left,void,5,178.0,55.698,0.853,0.877,0.967,0.551,22.02,11.507,15.054
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,bottom_left,void,6,41.0,28.385,0.977,0.84,0.872,0.311,15.877,3.385,7.225
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,bottom_left,void,7,221.0,71.32,0.931,-1.38,0.906,0.531,29.424,10.769,16.775
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,bottom_left,void,8,349.0,74.77,0.408,0.091,0.946,0.632,23.212,21.195,21.08
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,bottom_left,void,9,374.0,78.426,0.478,0.832,0.947,0.623,24.433,21.464,21.822
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,bottom_left,void,10,24.0,21.657,0.986,0.557,0.8,0.312,14.054,2.335,5.528
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,bottom_left,void,11,319.0,82.705,0.894,-0.869,0.922,0.438,31.962,14.34,20.153
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,bottom_left,void,12,348.0,80.184,0.727,0.085,0.923,0.571,26.977,18.518,21.05
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,bottom_left,void,13,441.0,84.669,0.63,0.863,0.957,0.605,28.183,21.881,23.696
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,bottom_left,void,14,225.0,84.663,0.974,0.139,0.889,0.499,37.63,8.583,16.926
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,bottom_left,void,15,367.0,100.598,0.942,0.167,0.906,0.48,40.154,13.449,21.617
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,bottom_left,void,16,356.0,88.184,0.893,-1.354,0.915,0.535,33.818,15.199,21.29
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,bottom_left,void,17,164.0,62.527,0.947,-1.004,0.906,0.427,27.075,8.731,14.45
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,bottom_left,void,18,596.0,102.912,0.743,-1.357,0.951,0.597,35.64,23.852,27.547
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,bottom_left,void,19,569.0,111.74,0.892,-1.15,0.93,0.502,42.612,19.279,26.916
